VendorName,Product,ProductCategory,ProductSeries,cpe_vendor,cpe_product,cpe_match_string,nvd_api_url
AppNexus,AppNexus,Ad Exchanges,Advertising,appnexus,appnexus,cpe:2.3:a:appnexus:appnexus:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:appnexus:appnexus:*:*:*:*:*:*:*
Rubicon Project,Rubicon Project,Ad Exchanges,Advertising,rubicon_project,rubicon_project,cpe:2.3:a:rubicon_project:rubicon_project:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:rubicon_project:rubicon_project:*:*:*:*:*:*:*
Index Exchange,Index Exchange,Ad Exchanges,Advertising,index_exchange,index_exchange,cpe:2.3:a:index_exchange:index_exchange:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:index_exchange:index_exchange:*:*:*:*:*:*:*
OpenX,OpenX,Ad Exchanges,Advertising,openx,openx,cpe:2.3:a:openx:openx:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:openx:openx:*:*:*:*:*:*:*
BidSwitch,BidSwitch,Ad Exchanges,Advertising,bidswitch,bidswitch,cpe:2.3:a:bidswitch:bidswitch:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:bidswitch:bidswitch:*:*:*:*:*:*:*
Google,Google DoubleClick,Ad Exchanges,Advertising,google,google_doubleclick,cpe:2.3:a:google:google_doubleclick:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:google:google_doubleclick:*:*:*:*:*:*:*
AdBrite,AdBrite,Ad Exchanges,Advertising,adbrite,adbrite,cpe:2.3:a:adbrite:adbrite:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adbrite:adbrite:*:*:*:*:*:*:*
Open AdStream,Open AdStream,Ad Exchanges,Advertising,open_adstream,open_adstream,cpe:2.3:a:open_adstream:open_adstream:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:open_adstream:open_adstream:*:*:*:*:*:*:*
district m,district M,Ad Exchanges,Advertising,district_m,district_m,cpe:2.3:a:district_m:district_m:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:district_m:district_m:*:*:*:*:*:*:*
PulsePoint,PulsePoint,Ad Exchanges,Advertising,pulsepoint,pulsepoint,cpe:2.3:a:pulsepoint:pulsepoint:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:pulsepoint:pulsepoint:*:*:*:*:*:*:*
bRealTime,bRealtime,Ad Exchanges,Advertising,brealtime,brealtime,cpe:2.3:a:brealtime:brealtime:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:brealtime:brealtime:*:*:*:*:*:*:*
PLYmedia,ADK2,Ad Exchanges,Advertising,plymedia,adk2,cpe:2.3:a:plymedia:adk2:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:plymedia:adk2:*:*:*:*:*:*:*
Zedo,Zedo,Ad Serving,Advertising,zedo,zedo,cpe:2.3:a:zedo:zedo:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:zedo:zedo:*:*:*:*:*:*:*
Flashtalking Inc.,Flashtalking Activate,Ad Serving,Advertising,flashtalking,flashtalking_activate,cpe:2.3:a:flashtalking:flashtalking_activate:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:flashtalking:flashtalking_activate:*:*:*:*:*:*:*
Adform,Adform,Ad Serving,Advertising,adform,adform,cpe:2.3:a:adform:adform:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adform:adform:*:*:*:*:*:*:*
Sizmek,Sizmek,Ad Serving,Advertising,sizmek,sizmek,cpe:2.3:a:sizmek:sizmek:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:sizmek:sizmek:*:*:*:*:*:*:*
Samsung,AdGear,Ad Serving,Advertising,samsung,adgear,cpe:2.3:a:samsung:adgear:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:samsung:adgear:*:*:*:*:*:*:*
Eyereturn Marketing,Eyereturn Marketing,Ad Serving,Advertising,eyereturn_marketing,eyereturn_marketing,cpe:2.3:a:eyereturn_marketing:eyereturn_marketing:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:eyereturn_marketing:eyereturn_marketing:*:*:*:*:*:*:*
Smart AdServer,Smart AdServer,Ad Serving,Advertising,smart_adserver,smart_adserver,cpe:2.3:a:smart_adserver:smart_adserver:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:smart_adserver:smart_adserver:*:*:*:*:*:*:*
MicroAd,MicroAd,Ad Serving,Advertising,microad,microad,cpe:2.3:a:microad:microad:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:microad:microad:*:*:*:*:*:*:*
Neodata Group,Neodata,Ad Serving,Advertising,neodata,neodata,cpe:2.3:a:neodata:neodata:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:neodata:neodata:*:*:*:*:*:*:*
MediaV,MediaV,Ad Serving,Advertising,mediav,mediav,cpe:2.3:a:mediav:mediav:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:mediav:mediav:*:*:*:*:*:*:*
Adzerk,Adzerk,Ad Serving,Advertising,adzerk,adzerk,cpe:2.3:a:adzerk:adzerk:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adzerk:adzerk:*:*:*:*:*:*:*
NEORY GmbH,Neory,Ad Serving,Advertising,neory,neory,cpe:2.3:a:neory:neory:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:neory:neory:*:*:*:*:*:*:*
Switch Concepts Ltd,Switch Concepts,Ad Serving,Advertising,switch_concepts,switch_concepts,cpe:2.3:a:switch_concepts:switch_concepts:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:switch_concepts:switch_concepts:*:*:*:*:*:*:*
AdSpeed.com Ad Server,AdSpeed,Ad Serving,Advertising,adspeed_com_ad_server,adspeed,cpe:2.3:a:adspeed_com_ad_server:adspeed:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adspeed_com_ad_server:adspeed:*:*:*:*:*:*:*
Verizon Media,ONE by AOL Ad Server,Ad Serving,Advertising,verizon_media,one_by_aol_ad_server,cpe:2.3:a:verizon_media:one_by_aol_ad_server:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:verizon_media:one_by_aol_ad_server:*:*:*:*:*:*:*
iBILLBOARD,iBILLBOARD,Ad Serving,Advertising,ibillboard,ibillboard,cpe:2.3:a:ibillboard:ibillboard:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:ibillboard:ibillboard:*:*:*:*:*:*:*
DotAndMedia,Dot&Media,Ad Serving,Advertising,dotandmedia,dot&media,cpe:2.3:a:dotandmedia:dot&media:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:dotandmedia:dot&media:*:*:*:*:*:*:*
Cxense ASA,Cxense Display,Ad Serving,Advertising,cxense_asa,cxense_display,cpe:2.3:a:cxense_asa:cxense_display:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:cxense_asa:cxense_display:*:*:*:*:*:*:*
Tagcade,Pubvantage,Ad Serving,Advertising,tagcade,pubvantage,cpe:2.3:a:tagcade:pubvantage:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:tagcade:pubvantage:*:*:*:*:*:*:*
EPOM,Epom,Ad Serving,Advertising,epom,epom,cpe:2.3:a:epom:epom:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:epom:epom:*:*:*:*:*:*:*
Thoughtleadr,Thoughtleadr,Ad Serving,Advertising,thoughtleadr,thoughtleadr,cpe:2.3:a:thoughtleadr:thoughtleadr:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:thoughtleadr:thoughtleadr:*:*:*:*:*:*:*
Moat,Moat,Ad Verification & Optimization,Advertising,moat,moat,cpe:2.3:a:moat:moat:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:moat:moat:*:*:*:*:*:*:*
comScore,AdXpose,Ad Verification & Optimization,Advertising,comscore,adxpose,cpe:2.3:a:comscore:adxpose:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:comscore:adxpose:*:*:*:*:*:*:*
Sortable,Sortable,Ad Verification & Optimization,Advertising,sortable,sortable,cpe:2.3:a:sortable:sortable:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:sortable:sortable:*:*:*:*:*:*:*
Tv Squared Ltd,TVSquared,Ad Verification & Optimization,Advertising,tv_squared,tvsquared,cpe:2.3:a:tv_squared:tvsquared:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:tv_squared:tvsquared:*:*:*:*:*:*:*
Integral Ad Science Inc.,Integral Ad Science,Ad Verification & Optimization,Advertising,integral_ad_science,integral_ad_science,cpe:2.3:a:integral_ad_science:integral_ad_science:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:integral_ad_science:integral_ad_science:*:*:*:*:*:*:*
Mediavine,MediaVine,Ad Verification & Optimization,Advertising,mediavine,mediavine,cpe:2.3:a:mediavine:mediavine:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:mediavine:mediavine:*:*:*:*:*:*:*
Kantar Millward Brown Inc.,Dynamic Logic,Ad Verification & Optimization,Advertising,kantar_millward_brown,dynamic_logic,cpe:2.3:a:kantar_millward_brown:dynamic_logic:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:kantar_millward_brown:dynamic_logic:*:*:*:*:*:*:*
Adobe Systems Inc.,Adobe Media Optimizer,Ad Verification & Optimization,Advertising,adobe,adobe_media_optimizer,cpe:2.3:a:adobe:adobe_media_optimizer:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adobe:adobe_media_optimizer:*:*:*:*:*:*:*
HasOffers,HasOffers,Ad Verification & Optimization,Advertising,hasoffers,hasoffers,cpe:2.3:a:hasoffers:hasoffers:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:hasoffers:hasoffers:*:*:*:*:*:*:*
DoubleVerify,DoubleVerify,Ad Verification & Optimization,Advertising,doubleverify,doubleverify,cpe:2.3:a:doubleverify:doubleverify:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:doubleverify:doubleverify:*:*:*:*:*:*:*
OneSoon Ltd,Adalyser,Ad Verification & Optimization,Advertising,onesoon,adalyser,cpe:2.3:a:onesoon:adalyser:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:onesoon:adalyser:*:*:*:*:*:*:*
LOCKON CO. LTD.,AD EBiS,Ad Verification & Optimization,Advertising,lockon,ad_ebis,cpe:2.3:a:lockon:ad_ebis:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:lockon:ad_ebis:*:*:*:*:*:*:*
The Nielsen Company (US) LLC.,Vizu,Ad Verification & Optimization,Advertising,the_nielsen_company_(us)_llc,vizu,cpe:2.3:a:the_nielsen_company_(us)_llc:vizu:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:the_nielsen_company_(us)_llc:vizu:*:*:*:*:*:*:*
Realytics,Realytics,Ad Verification & Optimization,Advertising,realytics,realytics,cpe:2.3:a:realytics:realytics:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:realytics:realytics:*:*:*:*:*:*:*
Yieldex,Yieldex,Ad Verification & Optimization,Advertising,yieldex,yieldex,cpe:2.3:a:yieldex:yieldex:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:yieldex:yieldex:*:*:*:*:*:*:*
Tru Measure,Tru Measure,Ad Verification & Optimization,Advertising,tru_measure,tru_measure,cpe:2.3:a:tru_measure:tru_measure:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:tru_measure:tru_measure:*:*:*:*:*:*:*
Tv Squared Ltd,wywy,Ad Verification & Optimization,Advertising,tv_squared,wywy,cpe:2.3:a:tv_squared:wywy:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:tv_squared:wywy:*:*:*:*:*:*:*
CyberAgent Inc ADR,CyberAgent CAMP,Ad Verification & Optimization,Advertising,cyberagent_inc_adr,cyberagent_camp,cpe:2.3:a:cyberagent_inc_adr:cyberagent_camp:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:cyberagent_inc_adr:cyberagent_camp:*:*:*:*:*:*:*
Nudge Analytics,Nudge,Ad Verification & Optimization,Advertising,nudge_analytics,nudge,cpe:2.3:a:nudge_analytics:nudge:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:nudge_analytics:nudge:*:*:*:*:*:*:*
AdPushup Software (P) Limited,AdPushup,Ad Verification & Optimization,Advertising,adpushup_software_(p)_limited,adpushup,cpe:2.3:a:adpushup_software_(p)_limited:adpushup:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adpushup_software_(p)_limited:adpushup:*:*:*:*:*:*:*
Adloox,Adloox,Ad Verification & Optimization,Advertising,adloox,adloox,cpe:2.3:a:adloox:adloox:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adloox:adloox:*:*:*:*:*:*:*
Awio Web Services,Improvely,Ad Verification & Optimization,Advertising,awio_web_services,improvely,cpe:2.3:a:awio_web_services:improvely:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:awio_web_services:improvely:*:*:*:*:*:*:*
Pagefair Ltd,PageFair,Ad Verification & Optimization,Advertising,pagefair,pagefair,cpe:2.3:a:pagefair:pagefair:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:pagefair:pagefair:*:*:*:*:*:*:*
AcuityAds Inc,Visible Measures,Ad Verification & Optimization,Advertising,acuityads,visible_measures,cpe:2.3:a:acuityads:visible_measures:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:acuityads:visible_measures:*:*:*:*:*:*:*
Ezoic,Ezoic,Ad Verification & Optimization,Advertising,ezoic,ezoic,cpe:2.3:a:ezoic:ezoic:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:ezoic:ezoic:*:*:*:*:*:*:*
ADTHRIVE LLC,AdThrive,Ad Verification & Optimization,Advertising,adthrive,adthrive,cpe:2.3:a:adthrive:adthrive:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adthrive:adthrive:*:*:*:*:*:*:*
Kantar Millward Brown Inc.,InsightExpress iCompass,Ad Verification & Optimization,Advertising,kantar_millward_brown,insightexpress_icompass,cpe:2.3:a:kantar_millward_brown:insightexpress_icompass:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:kantar_millward_brown:insightexpress_icompass:*:*:*:*:*:*:*
beBit Inc.,WebAntenna,Ad Verification & Optimization,Advertising,bebit,webantenna,cpe:2.3:a:bebit:webantenna:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:bebit:webantenna:*:*:*:*:*:*:*
Meetrics,Meetrics,Ad Verification & Optimization,Advertising,meetrics,meetrics,cpe:2.3:a:meetrics:meetrics:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:meetrics:meetrics:*:*:*:*:*:*:*
Forensiq,ForensIQ,Ad Verification & Optimization,Advertising,forensiq,forensiq,cpe:2.3:a:forensiq:forensiq:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:forensiq:forensiq:*:*:*:*:*:*:*
Fraudlogix,Fraudlogix,Ad Verification & Optimization,Advertising,fraudlogix,fraudlogix,cpe:2.3:a:fraudlogix:fraudlogix:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:fraudlogix:fraudlogix:*:*:*:*:*:*:*
Centerfield Media,Centerfield Dugout,Ad Verification & Optimization,Advertising,centerfield_media,centerfield_dugout,cpe:2.3:a:centerfield_media:centerfield_dugout:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:centerfield_media:centerfield_dugout:*:*:*:*:*:*:*
Komoona,Komoona,Ad Verification & Optimization,Advertising,komoona,komoona,cpe:2.3:a:komoona:komoona:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:komoona:komoona:*:*:*:*:*:*:*
AdStage Inc.,AdStage,Ad Verification & Optimization,Advertising,adstage,adstage,cpe:2.3:a:adstage:adstage:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adstage:adstage:*:*:*:*:*:*:*
Aderz Ltd.,Uponit,Ad Verification & Optimization,Advertising,aderz,uponit,cpe:2.3:a:aderz:uponit:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:aderz:uponit:*:*:*:*:*:*:*
Jerico Solutions LLC,ClickProtector,Ad Verification & Optimization,Advertising,jerico_solutions,clickprotector,cpe:2.3:a:jerico_solutions:clickprotector:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:jerico_solutions:clickprotector:*:*:*:*:*:*:*
77Agency,77Tracking,Ad Verification & Optimization,Advertising,77agency,77tracking,cpe:2.3:a:77agency:77tracking:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:77agency:77tracking:*:*:*:*:*:*:*
admetrics GmbH,AdMetrics,Ad Verification & Optimization,Advertising,admetrics,admetrics,cpe:2.3:a:admetrics:admetrics:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:admetrics:admetrics:*:*:*:*:*:*:*
AdNgin,AdNgin,Ad Verification & Optimization,Advertising,adngin,adngin,cpe:2.3:a:adngin:adngin:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adngin:adngin:*:*:*:*:*:*:*
Google,Google Ads,Advertising Networks,Advertising,google,google_ads,cpe:2.3:a:google:google_ads:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:google:google_ads:*:*:*:*:*:*:*
Google,Google AdSense,Advertising Networks,Advertising,google,google_adsense,cpe:2.3:a:google:google_adsense:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:google:google_adsense:*:*:*:*:*:*:*
Dotomi,Dotomi,Advertising Networks,Advertising,dotomi,dotomi,cpe:2.3:a:dotomi:dotomi:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:dotomi:dotomi:*:*:*:*:*:*:*
Verizon Media,Advertising.com,Advertising Networks,Advertising,verizon_media,advertising_com,cpe:2.3:a:verizon_media:advertising_com:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:verizon_media:advertising_com:*:*:*:*:*:*:*
Exponential Interactive inc,Exponential,Advertising Networks,Advertising,exponential_interactive,exponential,cpe:2.3:a:exponential_interactive:exponential:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:exponential_interactive:exponential:*:*:*:*:*:*:*
ProclivityMedia,ProclivityMedia,Advertising Networks,Advertising,proclivitymedia,proclivitymedia,cpe:2.3:a:proclivitymedia:proclivitymedia:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:proclivitymedia:proclivitymedia:*:*:*:*:*:*:*
Media.net,Media.net,Advertising Networks,Advertising,media_net,media_net,cpe:2.3:a:media_net:media_net:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:media_net:media_net:*:*:*:*:*:*:*
Microsoft,Bing Ads,Advertising Networks,Advertising,microsoft,bing_ads,cpe:2.3:a:microsoft:bing_ads:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:microsoft:bing_ads:*:*:*:*:*:*:*
Marchex,Marchex,Advertising Networks,Advertising,marchex,marchex,cpe:2.3:a:marchex:marchex:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:marchex:marchex:*:*:*:*:*:*:*
A9.com Inc.,A9 Advertising Technology,Advertising Networks,Advertising,a9_com,a9_advertising_technology,cpe:2.3:a:a9_com:a9_advertising_technology:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:a9_com:a9_advertising_technology:*:*:*:*:*:*:*
Conversant,Conversant,Advertising Networks,Advertising,conversant,conversant,cpe:2.3:a:conversant:conversant:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:conversant:conversant:*:*:*:*:*:*:*
Bizo,Bizo,Advertising Networks,Advertising,bizo,bizo,cpe:2.3:a:bizo:bizo:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:bizo:bizo:*:*:*:*:*:*:*
Exponential Interactive inc,TribalFusion,Advertising Networks,Advertising,exponential_interactive,tribalfusion,cpe:2.3:a:exponential_interactive:tribalfusion:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:exponential_interactive:tribalfusion:*:*:*:*:*:*:*
Lijit,Lijit,Advertising Networks,Advertising,lijit,lijit,cpe:2.3:a:lijit:lijit:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:lijit:lijit:*:*:*:*:*:*:*
Collective Media Inc.,Collective Media,Advertising Networks,Advertising,collective_media,collective_media,cpe:2.3:a:collective_media:collective_media:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:collective_media:collective_media:*:*:*:*:*:*:*
TradeDoubler,TradeDoubler,Advertising Networks,Advertising,tradedoubler,tradedoubler,cpe:2.3:a:tradedoubler:tradedoubler:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:tradedoubler:tradedoubler:*:*:*:*:*:*:*
NA,Gumgum,Advertising Networks,Advertising,na,gumgum,cpe:2.3:a:na:gumgum:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:na:gumgum:*:*:*:*:*:*:*
LiveIntent Inc.,LiveIntent,Advertising Networks,Advertising,liveintent,liveintent,cpe:2.3:a:liveintent:liveintent:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:liveintent:liveintent:*:*:*:*:*:*:*
NA,Infolinks,Advertising Networks,Advertising,na,infolinks,cpe:2.3:a:na:infolinks:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:na:infolinks:*:*:*:*:*:*:*
Yieldmo,Yieldmo,Advertising Networks,Advertising,yieldmo,yieldmo,cpe:2.3:a:yieldmo:yieldmo:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:yieldmo:yieldmo:*:*:*:*:*:*:*
Technorati,Technorati,Advertising Networks,Advertising,technorati,technorati,cpe:2.3:a:technorati:technorati:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:technorati:technorati:*:*:*:*:*:*:*
Undertone Inc.,Undertone,Advertising Networks,Advertising,undertone,undertone,cpe:2.3:a:undertone:undertone:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:undertone:undertone:*:*:*:*:*:*:*
Sonobi Media,Sonobi,Advertising Networks,Advertising,sonobi_media,sonobi,cpe:2.3:a:sonobi_media:sonobi:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:sonobi_media:sonobi:*:*:*:*:*:*:*
Amobee,Adconion,Advertising Networks,Advertising,amobee,adconion,cpe:2.3:a:amobee:adconion:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:amobee:adconion:*:*:*:*:*:*:*
interclick,Interclick,Advertising Networks,Advertising,interclick,interclick,cpe:2.3:a:interclick:interclick:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:interclick:interclick:*:*:*:*:*:*:*
Adwerx Inc,Adwerx,Advertising Networks,Advertising,adwerx,adwerx,cpe:2.3:a:adwerx:adwerx:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adwerx:adwerx:*:*:*:*:*:*:*
Chitika Inc.,Chitika,Advertising Networks,Advertising,chitika,chitika,cpe:2.3:a:chitika:chitika:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:chitika:chitika:*:*:*:*:*:*:*
