VendorName,Product,ProductCategory,ProductSeries,cpe_vendor,cpe_product,total_cves,total_available_in_nvd,critical,high,medium,low,match_method
AppNexus,AppNexus,Ad Exchanges,Advertising,appnexus,appnexus,0,0,0,0,0,0,keyword_vendor_product
Rubicon Project,Rubicon Project,Ad Exchanges,Advertising,rubicon_project,rubicon_project,0,0,0,0,0,0,keyword_vendor_product
Index Exchange,Index Exchange,Ad Exchanges,Advertising,index_exchange,index_exchange,9,9,0,2,7,0,keyword_vendor_product
OpenX,OpenX,Ad Exchanges,Advertising,openx,openx,13,13,1,5,7,0,virtualMatchString
BidSwitch,BidSwitch,Ad Exchanges,Advertising,bidswitch,bidswitch,0,0,0,0,0,0,keyword_vendor_product
Google,Google DoubleClick,Ad Exchanges,Advertising,google,google_doubleclick,1,1,0,0,0,1,keyword_vendor_product
AdBrite,AdBrite,Ad Exchanges,Advertising,adbrite,adbrite,0,0,0,0,0,0,keyword_vendor_product
Open AdStream,Open AdStream,Ad Exchanges,Advertising,open_adstream,open_adstream,0,0,0,0,0,0,keyword_vendor_product
district m,district M,Ad Exchanges,Advertising,district_m,district_m,1,1,0,0,1,0,keyword_vendor_product
PulsePoint,PulsePoint,Ad Exchanges,Advertising,pulsepoint,pulsepoint,0,0,0,0,0,0,keyword_vendor_product
bRealTime,bRealtime,Ad Exchanges,Advertising,brealtime,brealtime,0,0,0,0,0,0,keyword_vendor_product
PLYmedia,ADK2,Ad Exchanges,Advertising,plymedia,adk2,0,0,0,0,0,0,keyword_product_only
Zedo,Zedo,Ad Serving,Advertising,zedo,zedo,0,0,0,0,0,0,keyword_vendor_product
Flashtalking Inc.,Flashtalking Activate,Ad Serving,Advertising,flashtalking,flashtalking_activate,0,0,0,0,0,0,keyword_product_only
Adform,Adform,Ad Serving,Advertising,adform,adform,1,1,0,1,0,0,keyword_vendor_product
Sizmek,Sizmek,Ad Serving,Advertising,sizmek,sizmek,0,0,0,0,0,0,keyword_vendor_product
Samsung,AdGear,Ad Serving,Advertising,samsung,adgear,0,0,0,0,0,0,keyword_product_only
Eyereturn Marketing,Eyereturn Marketing,Ad Serving,Advertising,eyereturn_marketing,eyereturn_marketing,0,0,0,0,0,0,keyword_vendor_product
Smart AdServer,Smart AdServer,Ad Serving,Advertising,smart_adserver,smart_adserver,0,0,0,0,0,0,keyword_vendor_product
MicroAd,MicroAd,Ad Serving,Advertising,microad,microad,0,0,0,0,0,0,keyword_vendor_product
Neodata Group,Neodata,Ad Serving,Advertising,neodata,neodata,0,0,0,0,0,0,keyword_product_only
MediaV,MediaV,Ad Serving,Advertising,mediav,mediav,12,12,1,2,9,0,keyword_vendor_product
Adzerk,Adzerk,Ad Serving,Advertising,adzerk,adzerk,0,0,0,0,0,0,keyword_vendor_product
NEORY GmbH,Neory,Ad Serving,Advertising,neory,neory,0,0,0,0,0,0,keyword_product_only
Switch Concepts Ltd,Switch Concepts,Ad Serving,Advertising,switch_concepts,switch_concepts,0,0,0,0,0,0,keyword_product_only
AdSpeed.com Ad Server,AdSpeed,Ad Serving,Advertising,adspeed_com_ad_server,adspeed,0,0,0,0,0,0,keyword_product_only
Verizon Media,ONE by AOL Ad Server,Ad Serving,Advertising,verizon_media,one_by_aol_ad_server,0,0,0,0,0,0,keyword_product_only
iBILLBOARD,iBILLBOARD,Ad Serving,Advertising,ibillboard,ibillboard,0,0,0,0,0,0,keyword_vendor_product
DotAndMedia,Dot&Media,Ad Serving,Advertising,dotandmedia,dot&media,0,0,0,0,0,0,keyword_product_only
Cxense ASA,Cxense Display,Ad Serving,Advertising,cxense_asa,cxense_display,0,0,0,0,0,0,keyword_product_only
Tagcade,Pubvantage,Ad Serving,Advertising,tagcade,pubvantage,0,0,0,0,0,0,keyword_product_only
EPOM,Epom,Ad Serving,Advertising,epom,epom,0,0,0,0,0,0,keyword_vendor_product
Thoughtleadr,Thoughtleadr,Ad Serving,Advertising,thoughtleadr,thoughtleadr,0,0,0,0,0,0,keyword_vendor_product
Moat,Moat,Ad Verification & Optimization,Advertising,moat,moat,0,0,0,0,0,0,keyword_vendor_product
comScore,AdXpose,Ad Verification & Optimization,Advertising,comscore,adxpose,0,0,0,0,0,0,keyword_product_only
Sortable,Sortable,Ad Verification & Optimization,Advertising,sortable,sortable,3,3,0,0,3,0,keyword_vendor_product
Tv Squared Ltd,TVSquared,Ad Verification & Optimization,Advertising,tv_squared,tvsquared,0,0,0,0,0,0,keyword_product_only
Integral Ad Science Inc.,Integral Ad Science,Ad Verification & Optimization,Advertising,integral_ad_science,integral_ad_science,0,0,0,0,0,0,keyword_product_only
Mediavine,MediaVine,Ad Verification & Optimization,Advertising,mediavine,mediavine,7,7,1,0,6,0,keyword_vendor_product
Kantar Millward Brown Inc.,Dynamic Logic,Ad Verification & Optimization,Advertising,kantar_millward_brown,dynamic_logic,11,11,2,5,4,0,keyword_product_only
Adobe Systems Inc.,Adobe Media Optimizer,Ad Verification & Optimization,Advertising,adobe,adobe_media_optimizer,0,0,0,0,0,0,keyword_product_only
HasOffers,HasOffers,Ad Verification & Optimization,Advertising,hasoffers,hasoffers,0,0,0,0,0,0,keyword_vendor_product
DoubleVerify,DoubleVerify,Ad Verification & Optimization,Advertising,doubleverify,doubleverify,0,0,0,0,0,0,keyword_vendor_product
OneSoon Ltd,Adalyser,Ad Verification & Optimization,Advertising,onesoon,adalyser,0,0,0,0,0,0,keyword_product_only
LOCKON CO. LTD.,AD EBiS,Ad Verification & Optimization,Advertising,lockon,ad_ebis,0,0,0,0,0,0,keyword_product_only
The Nielsen Company (US) LLC.,Vizu,Ad Verification & Optimization,Advertising,the_nielsen_company_(us)_llc,vizu,0,0,0,0,0,0,keyword_product_only
Realytics,Realytics,Ad Verification & Optimization,Advertising,realytics,realytics,0,0,0,0,0,0,keyword_vendor_product
Yieldex,Yieldex,Ad Verification & Optimization,Advertising,yieldex,yieldex,0,0,0,0,0,0,keyword_vendor_product
Tru Measure,Tru Measure,Ad Verification & Optimization,Advertising,tru_measure,tru_measure,23,23,6,7,8,0,keyword_vendor_product
Tv Squared Ltd,wywy,Ad Verification & Optimization,Advertising,tv_squared,wywy,0,0,0,0,0,0,keyword_product_only
CyberAgent Inc ADR,CyberAgent CAMP,Ad Verification & Optimization,Advertising,cyberagent_inc_adr,cyberagent_camp,0,0,0,0,0,0,keyword_product_only
Nudge Analytics,Nudge,Ad Verification & Optimization,Advertising,nudge_analytics,nudge,2,2,0,0,2,0,keyword_product_only
AdPushup Software (P) Limited,AdPushup,Ad Verification & Optimization,Advertising,adpushup_software_(p)_limited,adpushup,0,0,0,0,0,0,keyword_product_only
Adloox,Adloox,Ad Verification & Optimization,Advertising,adloox,adloox,0,0,0,0,0,0,keyword_vendor_product
Awio Web Services,Improvely,Ad Verification & Optimization,Advertising,awio_web_services,improvely,0,0,0,0,0,0,keyword_product_only
Pagefair Ltd,PageFair,Ad Verification & Optimization,Advertising,pagefair,pagefair,0,0,0,0,0,0,keyword_product_only
AcuityAds Inc,Visible Measures,Ad Verification & Optimization,Advertising,acuityads,visible_measures,1,1,1,0,0,0,keyword_product_only
Ezoic,Ezoic,Ad Verification & Optimization,Advertising,ezoic,ezoic,2,2,0,0,2,0,virtualMatchString
ADTHRIVE LLC,AdThrive,Ad Verification & Optimization,Advertising,adthrive,adthrive,0,0,0,0,0,0,keyword_product_only
Kantar Millward Brown Inc.,InsightExpress iCompass,Ad Verification & Optimization,Advertising,kantar_millward_brown,insightexpress_icompass,0,0,0,0,0,0,keyword_product_only
beBit Inc.,WebAntenna,Ad Verification & Optimization,Advertising,bebit,webantenna,0,0,0,0,0,0,keyword_product_only
Meetrics,Meetrics,Ad Verification & Optimization,Advertising,meetrics,meetrics,0,0,0,0,0,0,keyword_vendor_product
Forensiq,ForensIQ,Ad Verification & Optimization,Advertising,forensiq,forensiq,0,0,0,0,0,0,keyword_vendor_product
Fraudlogix,Fraudlogix,Ad Verification & Optimization,Advertising,fraudlogix,fraudlogix,0,0,0,0,0,0,keyword_vendor_product
Centerfield Media,Centerfield Dugout,Ad Verification & Optimization,Advertising,centerfield_media,centerfield_dugout,0,0,0,0,0,0,keyword_product_only
Komoona,Komoona,Ad Verification & Optimization,Advertising,komoona,komoona,0,0,0,0,0,0,keyword_vendor_product
AdStage Inc.,AdStage,Ad Verification & Optimization,Advertising,adstage,adstage,0,0,0,0,0,0,keyword_product_only
Aderz Ltd.,Uponit,Ad Verification & Optimization,Advertising,aderz,uponit,0,0,0,0,0,0,keyword_product_only
Jerico Solutions LLC,ClickProtector,Ad Verification & Optimization,Advertising,jerico_solutions,clickprotector,0,0,0,0,0,0,keyword_product_only
77Agency,77Tracking,Ad Verification & Optimization,Advertising,77agency,77tracking,0,0,0,0,0,0,keyword_product_only
admetrics GmbH,AdMetrics,Ad Verification & Optimization,Advertising,admetrics,admetrics,0,0,0,0,0,0,keyword_product_only
AdNgin,AdNgin,Ad Verification & Optimization,Advertising,adngin,adngin,0,0,0,0,0,0,keyword_vendor_product
Google,Google Ads,Advertising Networks,Advertising,google,google_ads,10,10,1,1,8,0,keyword_vendor_product
Google,Google AdSense,Advertising Networks,Advertising,google,google_adsense,6,6,0,1,5,0,keyword_vendor_product
Dotomi,Dotomi,Advertising Networks,Advertising,dotomi,dotomi,0,0,0,0,0,0,keyword_vendor_product
Verizon Media,Advertising.com,Advertising Networks,Advertising,verizon_media,advertising_com,0,0,0,0,0,0,keyword_product_only
Exponential Interactive inc,Exponential,Advertising Networks,Advertising,exponential_interactive,exponential,57,57,1,24,25,2,keyword_product_only
ProclivityMedia,ProclivityMedia,Advertising Networks,Advertising,proclivitymedia,proclivitymedia,0,0,0,0,0,0,keyword_vendor_product
Media.net,Media.net,Advertising Networks,Advertising,media_net,media_net,1,1,0,1,0,0,keyword_vendor_product
Microsoft,Bing Ads,Advertising Networks,Advertising,microsoft,bing_ads,0,0,0,0,0,0,keyword_product_only
Marchex,Marchex,Advertising Networks,Advertising,marchex,marchex,0,0,0,0,0,0,keyword_vendor_product
A9.com Inc.,A9 Advertising Technology,Advertising Networks,Advertising,a9_com,a9_advertising_technology,0,0,0,0,0,0,keyword_product_only
Conversant,Conversant,Advertising Networks,Advertising,conversant,conversant,0,0,0,0,0,0,keyword_vendor_product
Bizo,Bizo,Advertising Networks,Advertising,bizo,bizo,0,0,0,0,0,0,keyword_vendor_product
Exponential Interactive inc,TribalFusion,Advertising Networks,Advertising,exponential_interactive,tribalfusion,0,0,0,0,0,0,keyword_product_only
Lijit,Lijit,Advertising Networks,Advertising,lijit,lijit,1,1,0,1,0,0,keyword_vendor_product
Collective Media Inc.,Collective Media,Advertising Networks,Advertising,collective_media,collective_media,0,0,0,0,0,0,keyword_product_only
TradeDoubler,TradeDoubler,Advertising Networks,Advertising,tradedoubler,tradedoubler,1,1,1,0,0,0,keyword_vendor_product
NA,Gumgum,Advertising Networks,Advertising,na,gumgum,0,0,0,0,0,0,keyword_product_only
LiveIntent Inc.,LiveIntent,Advertising Networks,Advertising,liveintent,liveintent,0,0,0,0,0,0,keyword_product_only
NA,Infolinks,Advertising Networks,Advertising,na,infolinks,1,1,0,0,1,0,keyword_product_only
Yieldmo,Yieldmo,Advertising Networks,Advertising,yieldmo,yieldmo,0,0,0,0,0,0,keyword_vendor_product
Technorati,Technorati,Advertising Networks,Advertising,technorati,technorati,1,1,0,0,1,0,keyword_vendor_product
Undertone Inc.,Undertone,Advertising Networks,Advertising,undertone,undertone,0,0,0,0,0,0,keyword_product_only
Sonobi Media,Sonobi,Advertising Networks,Advertising,sonobi_media,sonobi,0,0,0,0,0,0,keyword_product_only
Amobee,Adconion,Advertising Networks,Advertising,amobee,adconion,0,0,0,0,0,0,keyword_product_only
interclick,Interclick,Advertising Networks,Advertising,interclick,interclick,0,0,0,0,0,0,keyword_vendor_product
Adwerx Inc,Adwerx,Advertising Networks,Advertising,adwerx,adwerx,0,0,0,0,0,0,keyword_product_only
Chitika Inc.,Chitika,Advertising Networks,Advertising,chitika,chitika,0,0,0,0,0,0,keyword_product_only
Say Media,Say Media,Advertising Networks,Advertising,say_media,say_media,3,3,0,1,2,0,keyword_vendor_product
Sportority Limited,Minute Media,Advertising Networks,Advertising,sportority_limited,minute_media,0,0,0,0,0,0,keyword_product_only
BuySellAds.com Inc.,BuySellAds,Advertising Networks,Advertising,buysellads_com,buysellads,0,0,0,0,0,0,keyword_product_only
Carbon Ads,Carbon Ads,Advertising Networks,Advertising,carbon_ads,carbon_ads,0,0,0,0,0,0,keyword_vendor_product
FederatedMedia,FederatedMedia,Advertising Networks,Advertising,federatedmedia,federatedmedia,0,0,0,0,0,0,keyword_vendor_product
Apester Ltd.,Apester,Advertising Networks,Advertising,apester,apester,0,0,0,0,0,0,keyword_product_only
engage:BDR LLC,engageBDR,Advertising Networks,Advertising,engage:bdr,engagebdr,0,0,0,0,0,0,keyword_product_only
Nanigans,Nanigans,Advertising Networks,Advertising,nanigans,nanigans,0,0,0,0,0,0,keyword_vendor_product
AdColony Inc.,AdColony,Advertising Networks,Advertising,adcolony,adcolony,1,1,0,0,1,0,keyword_product_only
MultiView,MultiView,Advertising Networks,Advertising,multiview,multiview,3,3,0,0,2,1,keyword_vendor_product
Cogo Labs,CogoCast,Advertising Networks,Advertising,cogo_labs,cogocast,0,0,0,0,0,0,keyword_product_only
Blogher Inc,BlogHer Publishing Network,Advertising Networks,Advertising,blogher,blogher_publishing_network,0,0,0,0,0,0,keyword_product_only
Speed Shift Media,Speed Shift Media,Advertising Networks,Advertising,speed_shift_media,speed_shift_media,0,0,0,0,0,0,keyword_vendor_product
Glam Inc,Glam Media,Advertising Networks,Advertising,glam,glam_media,0,0,0,0,0,0,keyword_product_only
Yieldbot Inc,YieldBot,Advertising Networks,Advertising,yieldbot,yieldbot,0,0,0,0,0,0,keyword_product_only
RhythmOne,RhythmOne,Advertising Networks,Advertising,rhythmone,rhythmone,0,0,0,0,0,0,keyword_vendor_product
Evolve Media LLC,Evolve Media,Advertising Networks,Advertising,evolve_media,evolve_media,0,0,0,0,0,0,keyword_product_only
Intent Media Inc.,Intent Media,Advertising Networks,Advertising,intent_media,intent_media,12,12,0,6,3,3,keyword_product_only
ExoClick,ExoClick,Advertising Networks,Advertising,exoclick,exoclick,0,0,0,0,0,0,keyword_vendor_product
Monetize More,Monetize More,Advertising Networks,Advertising,monetize_more,monetize_more,0,0,0,0,0,0,keyword_vendor_product
Clicktripz,Clicktripz,Advertising Networks,Advertising,clicktripz,clicktripz,0,0,0,0,0,0,keyword_vendor_product
The Reach Group GmbH,The Reach Group,Advertising Networks,Advertising,the_reach,the_reach,15,15,0,9,6,0,keyword_product_only
Kiosked,Kiosked,Advertising Networks,Advertising,kiosked,kiosked,0,0,0,0,0,0,keyword_vendor_product
Innity,Innity,Advertising Networks,Advertising,innity,innity,0,0,0,0,0,0,keyword_vendor_product
Admixer Limited,Admixer,Advertising Networks,Advertising,admixer_limited,admixer,0,0,0,0,0,0,keyword_product_only
CPMStar,CPMStar,Advertising Networks,Advertising,cpmstar,cpmstar,0,0,0,0,0,0,keyword_vendor_product
CPXi,Digital Remedy,Advertising Networks,Advertising,cpxi,digital_remedy,0,0,0,0,0,0,keyword_product_only
Insticator Inc,Insticator,Advertising Networks,Advertising,insticator,insticator,0,0,0,0,0,0,keyword_product_only
Widespace AB,Widespace,Advertising Networks,Advertising,widespace_ab,widespace,0,0,0,0,0,0,keyword_product_only
Q1Media Inc.,Q1 Media,Advertising Networks,Advertising,q1media,q1_media,0,0,0,0,0,0,keyword_product_only
Mochi Media,Mochi Media,Advertising Networks,Advertising,mochi_media,mochi_media,0,0,0,0,0,0,keyword_vendor_product
Clicksor.com,Clicksor,Advertising Networks,Advertising,clicksor_com,clicksor,0,0,0,0,0,0,keyword_product_only
Project Wonderful,Project Wonderful,Advertising Networks,Advertising,project_wonderful,project_wonderful,0,0,0,0,0,0,keyword_vendor_product
Vibrant Media Inc.,Vibrant Media,Advertising Networks,Advertising,vibrant_media,vibrant_media,0,0,0,0,0,0,keyword_product_only
Lanista Concepts Corp,Lanista Concepts,Advertising Networks,Advertising,lanista_concepts,lanista_concepts,0,0,0,0,0,0,keyword_product_only
ReactX,ReactX,Advertising Networks,Advertising,reactx,reactx,0,0,0,0,0,0,keyword_vendor_product
Gorilla Nation Media,Gorilla Nation,Advertising Networks,Advertising,gorilla_nation_media,gorilla_nation,0,0,0,0,0,0,keyword_product_only
ADikteev / Keep Nation,Adikteev,Advertising Networks,Advertising,adikteev_/_keep_nation,adikteev,0,0,0,0,0,0,keyword_product_only
Zucks Inc.,Zucks,Advertising Networks,Advertising,zucks,zucks,0,0,0,0,0,0,keyword_product_only
Gamer Network,Gamer Network,Advertising Networks,Advertising,gamer_network,gamer_network,0,0,0,0,0,0,keyword_vendor_product
veoxa.com,Veoxa,Advertising Networks,Advertising,veoxa_com,veoxa,0,0,0,0,0,0,keyword_product_only
Opt-Intelligence,Opt-Intelligence,Advertising Networks,Advertising,opt_intelligence,opt_intelligence,0,0,0,0,0,0,keyword_vendor_product
Survata Inc.,Survata Publisher Network,Advertising Networks,Advertising,survata,survata_publisher_network,0,0,0,0,0,0,keyword_product_only
Monumetric LLC,Monumetric,Advertising Networks,Advertising,monumetric,monumetric,0,0,0,0,0,0,keyword_product_only
schibsted.com,Webtraffic,Advertising Networks,Advertising,schibsted_com,webtraffic,0,0,0,0,0,0,keyword_product_only
Adsupply Inc.,AdSupply,Advertising Networks,Advertising,adsupply,adsupply,0,0,0,0,0,0,keyword_product_only
Times Internet Ltd,Colombia,Advertising Networks,Advertising,times_internet,colombia,0,0,0,0,0,0,keyword_product_only
WebSpectator Corporation,WebSpectator,Advertising Networks,Advertising,webspectator_corporation,webspectator,0,0,0,0,0,0,keyword_product_only
BidVertiser,BidVertiser,Advertising Networks,Advertising,bidvertiser,bidvertiser,0,0,0,0,0,0,keyword_vendor_product
Sulvo,Sulvo,Advertising Networks,Advertising,sulvo,sulvo,0,0,0,0,0,0,keyword_vendor_product
LifeStreet Corporation,LifeStreet,Advertising Networks,Advertising,lifestreet_corporation,lifestreet,0,0,0,0,0,0,keyword_product_only
IndustryBrains Inc,IndustryBrains,Advertising Networks,Advertising,industrybrains,industrybrains,0,0,0,0,0,0,keyword_product_only
Adtegrity Inc.,Adtegrity,Advertising Networks,Advertising,adtegrity,adtegrity,0,0,0,0,0,0,keyword_product_only
PayPal,Where Ads,Advertising Networks,Advertising,paypal,where_ads,5,5,0,3,0,0,keyword_product_only
imonomy,Imonomy,Advertising Networks,Advertising,imonomy,imonomy,0,0,0,0,0,0,keyword_vendor_product
Nuffnang,Nuffnang,Advertising Networks,Advertising,nuffnang,nuffnang,0,0,0,0,0,0,keyword_vendor_product
MANTIS Ad Network,MANTIS Ad Network,Advertising Networks,Advertising,mantis_ad_network,mantis_ad_network,0,0,0,0,0,0,keyword_vendor_product
Spoutable LLC,Spoutable,Advertising Networks,Advertising,spoutable,spoutable,0,0,0,0,0,0,keyword_product_only
i-mobile Co Ltd.,i-mobile,Advertising Networks,Advertising,i_mobile,i_mobile,0,0,0,0,0,0,keyword_product_only
Ad Dynamo,Ad Dynamo,Advertising Networks,Advertising,ad_dynamo,ad_dynamo,7,7,0,2,5,0,keyword_vendor_product
Intermarkets Inc,Intermarkets,Advertising Networks,Advertising,intermarkets,intermarkets,0,0,0,0,0,0,keyword_product_only
Adinplay,Adinplay,Advertising Networks,Advertising,adinplay,adinplay,0,0,0,0,0,0,keyword_vendor_product
Steepto.com,Steepto,Advertising Networks,Advertising,steepto_com,steepto,0,0,0,0,0,0,keyword_product_only
akinasista.co.jp,MAIST,Advertising Networks,Advertising,akinasista_co_jp,maist,1,1,1,0,0,0,keyword_product_only
Semilo,Semilo,Advertising Networks,Advertising,semilo,semilo,0,0,0,0,0,0,keyword_vendor_product
Superawesome Ltd,SuperAwesome AwesomeAds,Advertising Networks,Advertising,superawesome,superawesome_awesomeads,0,0,0,0,0,0,keyword_product_only
Adversal Media Inc.,Adversal,Advertising Networks,Advertising,adversal_media,adversal,0,0,0,0,0,0,keyword_product_only
Amazon,Amazon Associates,Affiliate Networks,Advertising,amazon,amazon_associates,4,4,0,1,3,0,keyword_vendor_product
AWIN B.V,AWIN,Affiliate Networks,Advertising,awin_b_v,awin,6,6,0,3,3,0,keyword_product_only
Rakuten Marketing,LinkShare,Affiliate Networks,Advertising,rakuten_marketing,linkshare,0,0,0,0,0,0,keyword_product_only
Pepperjam LLC,Pepperjam,Affiliate Networks,Advertising,pepperjam,pepperjam,0,0,0,0,0,0,keyword_product_only
Impact Radius Inc,Impact Radius,Affiliate Networks,Advertising,impact_radius,impact_radius,3,3,2,1,0,0,keyword_product_only
SkimLinks,SkimLinks,Affiliate Networks,Advertising,skimlinks,skimlinks,2,2,0,0,2,0,keyword_vendor_product
Escalate Network,Escalate Network,Affiliate Networks,Advertising,escalate_network,escalate_network,135,135,22,85,21,0,keyword_vendor_product
Viglink,Viglink,Affiliate Networks,Advertising,viglink,viglink,1,1,0,0,1,0,keyword_vendor_product
ShareASale.com Inc.,ShareASale,Affiliate Networks,Advertising,shareasale_com,shareasale,1,1,0,1,0,0,keyword_product_only
RevenueWire,RevenueWire,Affiliate Networks,Advertising,revenuewire,revenuewire,0,0,0,0,0,0,keyword_vendor_product
ClickBank,ClickBank,Affiliate Networks,Advertising,clickbank,clickbank,11,11,1,5,5,0,keyword_vendor_product
AvantLink,AvantLink,Affiliate Networks,Advertising,avantlink,avantlink,0,0,0,0,0,0,keyword_vendor_product
Refersion Inc,Refersion,Affiliate Networks,Advertising,refersion,refersion,0,0,0,0,0,0,keyword_product_only
Bloglovin' Ab,Bloglovin Activate,Affiliate Networks,Advertising,bloglovin'_ab,bloglovin_activate,0,0,0,0,0,0,keyword_product_only
LinkConnector,LinkConnector,Affiliate Networks,Advertising,linkconnector,linkconnector,0,0,0,0,0,0,keyword_vendor_product
Missing Arrow Enterprises,AffiliateBuzz,Affiliate Networks,Advertising,missing_arrow_enterprises,affiliatebuzz,0,0,0,0,0,0,keyword_product_only
Commission Factory,Commission Factory,Affiliate Networks,Advertising,commission_factory,commission_factory,1,1,0,0,1,0,keyword_vendor_product
eBay Enterprise,eBay Partner Network,Affiliate Networks,Advertising,ebay_enterprise,ebay_partner_network,0,0,0,0,0,0,keyword_product_only
Webgains UK,Webgains,Affiliate Networks,Advertising,webgains_uk,webgains,0,0,0,0,0,0,keyword_product_only
Quality Unit LLC,Post Affiliate Pro,Affiliate Networks,Advertising,quality_unit,post_affiliate_pro,7,7,0,1,6,0,keyword_product_only
Tapfiliate,Tapfiliate,Affiliate Networks,Advertising,tapfiliate,tapfiliate,1,1,0,0,1,0,virtualMatchString
TradeTracker.com,TradeTrackercom,Affiliate Networks,Advertising,tradetracker_com,tradetrackercom,0,0,0,0,0,0,keyword_product_only
GrowSumo,GrowSumo,Affiliate Networks,Advertising,growsumo,growsumo,0,0,0,0,0,0,keyword_vendor_product
AWIN B.V,zanox,Affiliate Networks,Advertising,awin_b_v,zanox,0,0,0,0,0,0,keyword_product_only
iDevDirect,iDevAffiliate,Affiliate Networks,Advertising,idevdirect,idevaffiliate,0,0,0,0,0,0,keyword_product_only
TravelPayouts,Travelpayouts,Affiliate Networks,Advertising,travelpayouts,travelpayouts,3,3,0,1,2,0,virtualMatchString
affilinet,affilinet,Affiliate Networks,Advertising,affilinet,affilinet,0,0,0,0,0,0,keyword_vendor_product
LeadDyno,LeadDyno,Affiliate Networks,Advertising,leaddyno,leaddyno,0,0,0,0,0,0,keyword_vendor_product
ShopStyle Inc.,ShopStyle Collective,Affiliate Networks,Advertising,shopstyle,shopstyle_collective,0,0,0,0,0,0,keyword_product_only
Click2Sell,Click2Sell,Affiliate Networks,Advertising,click2sell,click2sell,2,2,0,0,2,0,keyword_vendor_product
Interspace Co Ltd,AccessTrade,Affiliate Networks,Advertising,interspace,accesstrade,0,0,0,0,0,0,keyword_product_only
AdCenter,Ad-Center,Affiliate Networks,Advertising,adcenter,ad_center,0,0,0,0,0,0,keyword_product_only
rewardStyle Inc,rewardStyle,Affiliate Networks,Advertising,rewardstyle,rewardstyle,0,0,0,0,0,0,keyword_product_only
Clickbooth,Clickbooth,Affiliate Networks,Advertising,clickbooth,clickbooth,0,0,0,0,0,0,keyword_vendor_product
LinkTrust,LinkTrust,Affiliate Networks,Advertising,linktrust,linktrust,0,0,0,0,0,0,keyword_vendor_product
adgoal.de,Adgoal,Affiliate Networks,Advertising,adgoal_de,adgoal,0,0,0,0,0,0,keyword_product_only
digidip,digidip,Affiliate Networks,Advertising,digidip,digidip,0,0,0,0,0,0,keyword_vendor_product
awempire.com,Adult Webmaster Empire,Affiliate Networks,Advertising,awempire_com,adult_webmaster_empire,0,0,0,0,0,0,keyword_product_only
MaxBounty Inc.,MaxBounty,Affiliate Networks,Advertising,maxbounty,maxbounty,0,0,0,0,0,0,keyword_product_only
Daisycon Bv,DaisyCon,Affiliate Networks,Advertising,daisycon_bv,daisycon,2,2,0,1,1,0,keyword_product_only
JVZoo,JVZoo,Affiliate Networks,Advertising,jvzoo,jvzoo,0,0,0,0,0,0,keyword_vendor_product
YieldKit GmbH,Yieldkit,Affiliate Networks,Advertising,yieldkit,yieldkit,0,0,0,0,0,0,keyword_product_only
Adobe Systems Inc.,Adobe Audience Manager,Data Management Platforms,Advertising,adobe,adobe_audience_manager,0,0,0,0,0,0,keyword_product_only
Navegg,Navegg,Data Management Platforms,Advertising,navegg,navegg,1,1,0,1,0,0,keyword_vendor_product
Liveramp,Liveramp,Data Management Platforms,Advertising,liveramp,liveramp,0,0,0,0,0,0,keyword_vendor_product
Oracle,BlueKai,Data Management Platforms,Advertising,oracle,bluekai,0,0,0,0,0,0,keyword_product_only
Lotame,Lotame,Data Management Platforms,Advertising,lotame,lotame,0,0,0,0,0,0,keyword_vendor_product
Aggregate Knowledge,Aggregate Knowledge,Data Management Platforms,Advertising,aggregate_knowledge,aggregate_knowledge,0,0,0,0,0,0,keyword_vendor_product
eXelate A Nielsen Company,eXelate,Data Management Platforms,Advertising,exelate_a_nielsen_company,exelate,0,0,0,0,0,0,keyword_product_only
Amobee,Turn,Data Management Platforms,Advertising,amobee,turn,687,687,57,227,339,20,keyword_product_only
Liveramp,Arbor,Data Management Platforms,Advertising,liveramp,arbor,6,6,0,2,3,1,keyword_product_only
Sizmek,Rocket Fuel,Data Management Platforms,Advertising,sizmek,rocket_fuel,0,0,0,0,0,0,keyword_product_only
Salesforce.com,Salesforce DMP,Data Management Platforms,Advertising,salesforce_com,salesforce_dmp,0,0,0,0,0,0,keyword_product_only
Retargetly,Retargetly,Data Management Platforms,Advertising,retargetly,retargetly,0,0,0,0,0,0,keyword_vendor_product
Sojern,Sojern,Data Management Platforms,Advertising,sojern,sojern,0,0,0,0,0,0,keyword_vendor_product
Weborama,Weborama,Data Management Platforms,Advertising,weborama,weborama,0,0,0,0,0,0,keyword_vendor_product
Platform161,Platform161,Data Management Platforms,Advertising,platform161,platform161,0,0,0,0,0,0,keyword_vendor_product
KBM Group,I-Behavior,Data Management Platforms,Advertising,kbm,i_behavior,0,0,0,0,0,0,keyword_product_only
ADEX,The ADEX,Data Management Platforms,Advertising,adex,the_adex,0,0,0,0,0,0,keyword_vendor_product
AudienceScience,AudienceScience,Data Management Platforms,Advertising,audiencescience,audiencescience,0,0,0,0,0,0,keyword_vendor_product
AudienceRate Ltd,AudienceRate,Data Management Platforms,Advertising,audiencerate,audiencerate,0,0,0,0,0,0,keyword_product_only
intimatemerger.com,Intimate Merger,Data Management Platforms,Advertising,intimatemerger_com,intimate_merger,0,0,0,0,0,0,keyword_product_only
Umbel Corp,Umbel,Data Management Platforms,Advertising,umbel,umbel,0,0,0,0,0,0,keyword_product_only
